timestamp_ms,t_s,z_m,wake_label
1634605520203,0.0,0.002,0
1634605520403,0.2,0.001,0
1634605520603,0.4,0.003,0
1634605520803,0.6,0.002,0
1634605521003,0.8,-0.005,0
1634605521203,1.0,-0.014,0
1634605521403,1.2,-0.019,0
1634605521603,1.4,-0.018,0
1634605521803,1.6,-0.013,0
1634605522003,1.8,-0.007,0
1634605522203,2.0,-0.003,0
1634605522403,2.2,0.003,0
1634605522603,2.4,0.009,0
1634605522803,2.6,0.014,0
1634605523003,2.8,0.014,0
1634605523203,3.0,0.008,0
1634605523403,3.2,-0.0,0
1634605523603,3.4,-0.005,0
1634605523803,3.6,-0.002,0
1634605524003,3.8,0.007,0
1634605524203,4.0,0.019,0
1634605524403,4.2,0.028,0
1634605524603,4.4,0.032,0
1634605524803,4.6,0.031,0
1634605525003,4.8,0.024,0
1634605525203,5.0,0.013,0
1634605525403,5.2,0.003,0
1634605525603,5.4,-0.005,0
1634605525803,5.6,-0.009,0
1634605526003,5.8,-0.012,0
1634605526203,6.0,-0.014,0
1634605526403,6.2,-0.015,0
1634605526603,6.4,-0.014,0
1634605526803,6.6,-0.01,0
1634605527003,6.8,-0.0,0
1634605527203,7.0,0.01,0
1634605527403,7.2,0.018,0
1634605527603,7.4,0.019,0
1634605527803,7.6,0.012,0
1634605528003,7.8,0.0,0
1634605528203,8.0,-0.01,0
1634605528403,8.2,-0.015,0
1634605528603,8.4,-0.014,0
1634605528803,8.6,-0.012,0
1634605529003,8.8,-0.014,0
1634605529203,9.0,-0.017,0
1634605529403,9.2,-0.018,0
1634605529603,9.4,-0.014,0
1634605529803,9.6,-0.006,0
1634605530003,9.8,0.002,0
1634605530203,10.0,0.004,0
1634605530403,10.2,0.003,0
1634605530603,10.4,0.001,0
1634605530803,10.6,-0.0,0
1634605531003,10.8,-0.002,0
1634605531203,11.0,-0.006,0
1634605531403,11.2,-0.013,0
1634605531603,11.4,-0.02,0
1634605531803,11.6,-0.021,0
1634605532003,11.8,-0.017,0
1634605532203,12.0,-0.006,0
1634605532403,12.2,0.009,0
1634605532603,12.4,0.024,0
1634605532803,12.6,0.035,0
1634605533003,12.8,0.038,0
1634605533203,13.0,0.033,0
1634605533403,13.2,0.027,0
1634605533603,13.4,0.025,0
1634605533803,13.6,0.028,0
1634605534003,13.8,0.029,0
1634605534203,14.0,0.021,0
1634605534403,14.2,0.004,0
1634605534603,14.4,-0.016,0
1634605534803,14.6,-0.029,0
1634605535003,14.8,-0.032,0
1634605535203,15.0,-0.029,0
1634605535403,15.2,-0.024,0
1634605535603,15.4,-0.019,0
1634605535803,15.6,-0.015,0
1634605536003,15.8,-0.013,0
1634605536203,16.0,-0.017,0
1634605536403,16.2,-0.028,0
1634605536603,16.4,-0.039,0
