timestamp_ms,t_s,z_m,wake_label
1634653220220,0.0,0.005,0
1634653220420,0.2,-0.001,0
1634653220620,0.4,-0.004,0
1634653220820,0.6,-0.004,0
1634653221020,0.8,-0.002,0
1634653221220,1.0,-0.002,0
1634653221420,1.2,-0.004,0
1634653221620,1.4,-0.005,0
1634653221820,1.6,-0.003,0
1634653222020,1.8,0.001,0
1634653222220,2.0,0.004,0
1634653222420,2.2,0.004,0
1634653222620,2.4,0.0,0
1634653222820,2.6,-0.004,0
1634653223020,2.8,-0.005,0
1634653223220,3.0,-0.003,0
1634653223420,3.2,0.002,0
1634653223620,3.4,0.007,0
1634653223820,3.6,0.011,0
1634653224020,3.8,0.011,0
1634653224220,4.0,0.008,0
1634653224420,4.2,0.003,0
1634653224620,4.4,-0.003,0
1634653224820,4.6,-0.008,0
1634653225020,4.8,-0.009,0
1634653225220,5.0,-0.005,0
1634653225420,5.2,0.001,0
1634653225620,5.4,0.005,0
1634653225820,5.6,0.006,0
1634653226020,5.8,0.002,0
1634653226220,6.0,-0.003,0
1634653226420,6.2,-0.006,0
1634653226620,6.4,-0.007,0
1634653226820,6.6,-0.005,0
1634653227020,6.8,-0.002,0
1634653227220,7.0,0.001,0
1634653227420,7.2,0.0,0
1634653227620,7.4,-0.002,0
1634653227820,7.6,-0.005,0
1634653228020,7.8,-0.006,0
1634653228220,8.0,-0.004,0
1634653228420,8.2,-0.0,0
1634653228620,8.4,0.003,0
1634653228820,8.6,0.005,0
1634653229020,8.8,0.006,0
1634653229220,9.0,0.007,0
1634653229420,9.2,0.008,0
1634653229620,9.4,0.009,0
1634653229820,9.6,0.006,0
1634653230020,9.8,0.002,0
1634653230220,10.0,-0.003,0
1634653230420,10.2,-0.007,0
1634653230620,10.4,-0.008,0
1634653230820,10.6,-0.007,0
1634653231020,10.8,-0.002,0
1634653231220,11.0,0.004,0
1634653231420,11.2,0.01,0
1634653231620,11.4,0.008,0
1634653231820,11.6,0.0,0
1634653232020,11.8,-0.009,0
1634653232220,12.0,-0.013,0
1634653232420,12.2,-0.006,0
1634653232620,12.4,0.005,0
1634653232820,12.6,0.011,0
1634653233020,12.8,0.006,0
1634653233220,13.0,-0.005,0
1634653233420,13.2,-0.014,0
1634653233620,13.4,-0.013,0
1634653233820,13.6,-0.004,0
1634653234020,13.8,0.007,0
1634653234220,14.0,0.013,0
1634653234420,14.2,0.011,0
1634653234620,14.4,0.003,0
1634653234820,14.6,-0.006,0
1634653235020,14.8,-0.011,0
1634653235220,15.0,-0.009,0
1634653235420,15.2,0.0,0
1634653235620,15.4,0.009,0
1634653235820,15.6,0.012,0
1634653236020,15.8,0.005,0
1634653236220,16.0,-0.004,0
1634653236420,16.2,-0.009,0
1634653236620,16.4,-0.003,0
1634653236820,16.6,0.007,0
1634653237020,16.8,0.013,0
1634653237220,17.0,0.007,0
1634653237420,17.2,-0.005,0
1634653237620,17.4,-0.014,0
1634653237820,17.6,-0.012,0
1634653238020,17.8,-0.0,0
1634653238220,18.0,0.012,0
1634653238420,18.2,0.015,0
1634653238620,18.4,0.006,0
1634653238820,18.6,-0.008,0
1634653239020,18.8,-0.016,0
1634653239220,19.0,-0.012,0
1634653239420,19.2,0.0,0
1634653239620,19.4,0.012,0
1634653239820,19.6,0.013,0
1634653240020,19.8,0.002,0
1634653240220,20.0,-0.013,0
1634653240420,20.2,-0.019,0
1634653240620,20.4,-0.012,0
1634653240820,20.6,0.004,0
1634653241020,20.8,0.016,0
1634653241220,21.0,0.015,0
1634653241420,21.2,0.003,0
1634653241620,21.4,-0.012,0
1634653241820,21.6,-0.016,0
1634653242020,21.8,-0.007,0
1634653242220,22.0,0.01,0
1634653242420,22.2,0.023,1
1634653242620,22.4,0.023,1
1634653242820,22.6,0.009,1
1634653243020,22.8,-0.009,1
1634653243220,23.0,-0.017,1
