timestamp_ms,t_s,z_m,wake_label
1634330120204,0.0,0.006,0
1634330120404,0.2,0.001,0
1634330120604,0.4,-0.0,0
1634330120804,0.6,0.001,0
1634330121004,0.8,0.005,0
1634330121204,1.0,0.008,0
1634330121404,1.2,0.007,0
1634330121604,1.4,0.003,0
1634330121804,1.6,-0.003,0
1634330122004,1.8,-0.006,0
1634330122204,2.0,-0.006,0
1634330122404,2.2,-0.001,0
1634330122604,2.4,0.004,0
1634330122804,2.6,0.009,0
1634330123004,2.8,0.012,0
1634330123204,3.0,0.014,0
1634330123404,3.2,0.014,0
1634330123604,3.4,0.012,0
1634330123804,3.6,0.008,0
1634330124004,3.8,0.002,0
1634330124204,4.0,-0.003,0
1634330124404,4.2,-0.006,0
1634330124604,4.4,-0.005,0
1634330124804,4.6,-0.0,0
1634330125004,4.8,0.004,0
1634330125204,5.0,0.006,0
1634330125404,5.2,0.005,0
1634330125604,5.4,0.002,0
1634330125804,5.6,0.0,0
1634330126004,5.8,0.002,0
1634330126204,6.0,0.004,0
1634330126404,6.2,0.004,0
1634330126604,6.4,0.002,0
1634330126804,6.6,-0.002,0
1634330127004,6.8,-0.008,0
1634330127204,7.0,-0.013,0
1634330127404,7.2,-0.016,0
1634330127604,7.4,-0.016,0
1634330127804,7.6,-0.013,0
1634330128004,7.8,-0.007,0
1634330128204,8.0,-0.002,0
1634330128404,8.2,-0.0,0
1634330128604,8.4,-0.003,0
1634330128804,8.6,-0.007,0
1634330129004,8.8,-0.009,0
1634330129204,9.0,-0.007,0
1634330129404,9.2,-0.002,0
1634330129604,9.4,0.004,0
1634330129804,9.6,0.007,0
1634330130004,9.8,0.007,0
1634330130204,10.0,0.003,0
1634330130404,10.2,-0.002,0
1634330130604,10.4,-0.008,0
1634330130804,10.6,-0.01,0
1634330131004,10.8,-0.007,0
1634330131204,11.0,-0.002,0
1634330131404,11.2,0.003,0
1634330131604,11.4,0.003,0
1634330131804,11.6,-0.001,0
1634330132004,11.8,-0.007,0
1634330132204,12.0,-0.012,0
1634330132404,12.2,-0.013,0
1634330132604,12.4,-0.012,0
1634330132804,12.6,-0.011,0
1634330133004,12.8,-0.012,0
1634330133204,13.0,-0.012,0
1634330133404,13.2,-0.01,0
1634330133604,13.4,-0.007,0
1634330133804,13.6,-0.003,0
1634330134004,13.8,-0.0,0
1634330134204,14.0,-0.001,0
1634330134404,14.2,-0.003,0
1634330134604,14.4,-0.005,0
1634330134804,14.6,-0.007,0
1634330135004,14.8,-0.009,0
1634330135204,15.0,-0.01,0
1634330135404,15.2,-0.01,0
1634330135604,15.4,-0.011,0
1634330135804,15.6,-0.012,0
1634330136004,15.8,-0.012,0
1634330136204,16.0,-0.009,0
1634330136404,16.2,-0.004,0
1634330136604,16.4,0.001,0
1634330136804,16.6,0.002,0
1634330137004,16.8,-0.0,0
1634330137204,17.0,-0.006,0
1634330137404,17.2,-0.011,0
1634330137604,17.4,-0.013,0
1634330137804,17.6,-0.01,0
1634330138004,17.8,-0.006,0
1634330138204,18.0,-0.001,0
1634330138404,18.2,0.001,0
1634330138604,18.4,0.003,0
1634330138804,18.6,0.003,0
1634330139004,18.8,0.004,0
1634330139204,19.0,0.005,0
1634330139404,19.2,0.006,0
1634330139604,19.4,0.008,0
1634330139804,19.6,0.009,0
1634330140004,19.8,0.009,0
1634330140204,20.0,0.009,0
1634330140404,20.2,0.01,0
1634330140604,20.4,0.01,0
1634330140804,20.6,0.01,0
1634330141004,20.8,0.009,0
1634330141204,21.0,0.007,0
1634330141404,21.2,0.007,0
1634330141604,21.4,0.009,0
1634330141804,21.6,0.014,0
1634330142004,21.8,0.018,0
1634330142204,22.0,0.019,0
1634330142404,22.2,0.016,0
1634330142604,22.4,0.01,0
1634330142804,22.6,0.004,0
1634330143004,22.8,0.0,0
1634330143204,23.0,0.0,0
1634330143404,23.2,0.003,0
1634330143604,23.4,0.007,0
1634330143804,23.6,0.01,0
1634330144004,23.8,0.011,0
1634330144204,24.0,0.009,0
1634330144404,24.2,0.006,0
1634330144604,24.4,0.002,0
1634330144804,24.6,-0.0,0
1634330145004,24.8,-0.001,0
1634330145204,25.0,-0.002,0
1634330145404,25.2,-0.003,0
1634330145604,25.4,-0.006,0
1634330145804,25.6,-0.008,0
1634330146004,25.8,-0.008,0
1634330146204,26.0,-0.004,0
1634330146404,26.2,0.003,0
1634330146604,26.4,0.012,0
1634330146804,26.6,0.019,0
1634330147004,26.8,0.021,0
1634330147204,27.0,0.019,0
1634330147404,27.2,0.012,0
1634330147604,27.4,0.004,0
1634330147804,27.6,-0.002,0
1634330148004,27.8,-0.004,0
1634330148204,28.0,-0.004,0
1634330148404,28.2,-0.002,0
1634330148604,28.4,0.0,0
1634330148804,28.6,0.004,0
1634330149004,28.8,0.006,0
1634330149204,29.0,0.008,0
1634330149404,29.2,0.007,0
1634330149604,29.4,0.006,0
1634330149804,29.6,0.005,0
1634330150004,29.8,0.004,0
1634330150204,30.0,0.004,0
1634330150404,30.2,0.003,0
1634330150604,30.4,0.001,0
1634330150804,30.6,-0.003,0
1634330151004,30.8,-0.007,0
1634330151204,31.0,-0.007,0
1634330151404,31.2,-0.004,0
1634330151604,31.4,0.001,0
1634330151804,31.6,0.006,0
1634330152004,31.8,0.006,0
1634330152204,32.0,0.003,0
1634330152404,32.2,-0.001,0
1634330152604,32.4,-0.003,0
1634330152804,32.6,-0.003,0
1634330153004,32.8,-0.0,0
1634330153204,33.0,0.001,0
1634330153404,33.2,-0.001,0
1634330153604,33.4,-0.007,0
1634330153804,33.6,-0.014,0
1634330154004,33.8,-0.021,0
1634330154204,34.0,-0.024,0
1634330154404,34.2,-0.02,0
1634330154604,34.4,-0.014,0
1634330154804,34.6,-0.008,0
1634330155004,34.8,-0.008,0
1634330155204,35.0,-0.013,0
1634330155404,35.2,-0.018,0
1634330155604,35.4,-0.02,0
1634330155804,35.6,-0.016,0
1634330156004,35.8,-0.009,0
1634330156204,36.0,-0.004,0
1634330156404,36.2,-0.003,0
1634330156604,36.4,-0.003,0
1634330156804,36.6,-0.002,0
1634330157004,36.8,0.002,0
1634330157204,37.0,0.006,0
1634330157404,37.2,0.009,0
1634330157604,37.4,0.008,0
1634330157804,37.6,0.003,0
1634330158004,37.8,-0.002,0
1634330158204,38.0,-0.005,0
1634330158404,38.2,-0.007,0
1634330158604,38.4,-0.005,0
1634330158804,38.6,-0.002,0
1634330159004,38.8,0.0,0
1634330159204,39.0,0.001,0
1634330159404,39.2,0.002,0
1634330159604,39.4,0.004,0
1634330159804,39.6,0.007,0
1634330160004,39.8,0.008,0
1634330160204,40.0,0.006,0
1634330160404,40.2,0.001,0
1634330160604,40.4,-0.005,0
1634330160804,40.6,-0.009,0
1634330161004,40.8,-0.01,0
1634330161204,41.0,-0.009,0
1634330161404,41.2,-0.008,0
1634330161604,41.4,-0.008,0
1634330161804,41.6,-0.007,0
1634330162004,41.8,-0.005,0
1634330162204,42.0,-0.001,0
1634330162404,42.2,0.002,0
1634330162604,42.4,0.001,0
1634330162804,42.6,-0.003,0
1634330163004,42.8,-0.01,0
1634330163204,43.0,-0.015,0
1634330163404,43.2,-0.017,0
1634330163604,43.4,-0.013,0
1634330163804,43.6,-0.006,0
1634330164004,43.8,0.001,0
1634330164204,44.0,0.006,0
1634330164404,44.2,0.006,0
1634330164604,44.4,0.002,0
1634330164804,44.6,-0.003,0
1634330165004,44.8,-0.005,0
1634330165204,45.0,-0.005,0
1634330165404,45.2,-0.002,0
1634330165604,45.4,0.001,0
1634330165804,45.6,0.003,0
1634330166004,45.8,0.004,0
1634330166204,46.0,0.002,0
1634330166404,46.2,0.0,0
1634330166604,46.4,-0.001,0
1634330166804,46.6,0.0,0
1634330167004,46.8,0.004,0
1634330167204,47.0,0.01,0
1634330167404,47.2,0.015,0
1634330167604,47.4,0.019,0
1634330167804,47.6,0.021,0
1634330168004,47.8,0.02,0
1634330168204,48.0,0.017,0
1634330168404,48.2,0.012,0
1634330168604,48.4,0.007,0
1634330168804,48.6,0.004,0
1634330169004,48.8,0.005,0
1634330169204,49.0,0.008,0
1634330169404,49.2,0.012,0
1634330169604,49.4,0.014,0
1634330169804,49.6,0.012,0
1634330170004,49.8,0.008,0
1634330170204,50.0,0.005,0
1634330170404,50.2,0.005,0
1634330170604,50.4,0.009,0
1634330170804,50.6,0.013,0
1634330171004,50.8,0.015,0
1634330171204,51.0,0.014,0
1634330171404,51.2,0.01,0
1634330171604,51.4,0.006,0
1634330171804,51.6,0.002,0
1634330172004,51.8,-0.002,0
1634330172204,52.0,-0.004,0
1634330172404,52.2,-0.005,0
1634330172604,52.4,-0.003,0
1634330172804,52.6,0.003,0
1634330173004,52.8,0.009,0
1634330173204,53.0,0.013,0
1634330173404,53.2,0.012,0
1634330173604,53.4,0.008,0
1634330173804,53.6,0.002,0
1634330174004,53.8,-0.002,0
1634330174204,54.0,-0.005,0
1634330174404,54.2,-0.007,0
1634330174604,54.4,-0.006,0
1634330174804,54.6,-0.004,0
1634330175004,54.8,-0.0,0
1634330175204,55.0,0.002,0
1634330175404,55.2,0.001,0
1634330175604,55.4,-0.003,0
1634330175804,55.6,-0.006,0
1634330176004,55.8,-0.006,0
1634330176204,56.0,-0.003,0
1634330176404,56.2,-0.0,0
1634330176604,56.4,-0.002,0
1634330176804,56.6,-0.008,0
1634330177004,56.8,-0.017,0
1634330177204,57.0,-0.022,0
1634330177404,57.2,-0.022,0
1634330177604,57.4,-0.015,0
1634330177804,57.6,-0.005,0
1634330178004,57.8,0.005,0
1634330178204,58.0,0.012,0
1634330178404,58.2,0.014,0
1634330178604,58.4,0.013,0
1634330178804,58.6,0.009,0
1634330179004,58.8,0.006,0
1634330179204,59.0,0.003,0
1634330179404,59.2,0.002,0
1634330179604,59.4,0.003,0
1634330179804,59.6,0.003,0
1634330180004,59.8,0.002,0
1634330180204,60.0,-0.002,0
1634330180404,60.2,-0.006,0
1634330180604,60.4,-0.009,0
1634330180804,60.6,-0.01,0
1634330181004,60.8,-0.011,0
1634330181204,61.0,-0.013,0
1634330181404,61.2,-0.015,0
1634330181604,61.4,-0.017,0
1634330181804,61.6,-0.017,0
1634330182004,61.8,-0.015,0
1634330182204,62.0,-0.014,0
1634330182404,62.2,-0.012,0
1634330182604,62.4,-0.01,0
1634330182804,62.6,-0.005,0
1634330183004,62.8,0.003,0
1634330183204,63.0,0.009,0
1634330183404,63.2,0.012,0
1634330183604,63.4,0.009,0
1634330183804,63.6,0.004,0
1634330184004,63.8,-0.002,0
1634330184204,64.0,-0.008,0
1634330184404,64.2,-0.014,0
1634330184604,64.4,-0.02,0
1634330184804,64.6,-0.024,0
1634330185004,64.8,-0.025,0
1634330185204,65.0,-0.022,0
1634330185404,65.2,-0.018,0
1634330185604,65.4,-0.015,0
1634330185804,65.6,-0.012,0
1634330186004,65.8,-0.007,0
1634330186204,66.0,-0.001,0
1634330186404,66.2,0.004,0
1634330186604,66.4,0.008,0
1634330186804,66.6,0.008,0
1634330187004,66.8,0.007,0
1634330187204,67.0,0.006,0
1634330187404,67.2,0.004,0
1634330187604,67.4,0.001,0
1634330187804,67.6,-0.002,0
1634330188004,67.8,-0.005,0
1634330188204,68.0,-0.006,0
1634330188404,68.2,-0.006,0
1634330188604,68.4,-0.004,0
1634330188804,68.6,-0.0,0
1634330189004,68.8,0.005,0
1634330189204,69.0,0.01,0
1634330189404,69.2,0.013,0
1634330189604,69.4,0.014,0
1634330189804,69.6,0.012,0
1634330190004,69.8,0.011,0
1634330190204,70.0,0.01,0
1634330190404,70.2,0.01,0
1634330190604,70.4,0.009,0
1634330190804,70.6,0.007,0
1634330191004,70.8,0.005,0
1634330191204,71.0,0.003,0
1634330191404,71.2,0.002,0
1634330191604,71.4,0.0,0
1634330191804,71.6,-0.0,0
1634330192004,71.8,0.002,0
1634330192204,72.0,0.005,0
1634330192404,72.2,0.009,0
1634330192604,72.4,0.011,0
1634330192804,72.6,0.01,0
1634330193004,72.8,0.008,0
1634330193204,73.0,0.007,0
1634330193404,73.2,0.009,0
1634330193604,73.4,0.014,0
1634330193804,73.6,0.018,0
1634330194004,73.8,0.02,0
1634330194204,74.0,0.019,0
1634330194404,74.2,0.014,0
1634330194604,74.4,0.006,0
1634330194804,74.6,-0.002,0
1634330195004,74.8,-0.008,0
1634330195204,75.0,-0.009,0
1634330195404,75.2,-0.007,0
1634330195604,75.4,-0.003,0
1634330195804,75.6,-0.0,0
1634330196004,75.8,-0.0,0
1634330196204,76.0,-0.002,0
1634330196404,76.2,-0.004,0
1634330196604,76.4,-0.004,0
1634330196804,76.6,-0.004,0
1634330197004,76.8,-0.002,0
1634330197204,77.0,0.002,0
1634330197404,77.2,0.006,0
1634330197604,77.4,0.009,0
1634330197804,77.6,0.012,0
1634330198004,77.8,0.012,0
1634330198204,78.0,0.01,0
1634330198404,78.2,0.006,0
1634330198604,78.4,0.002,0
1634330198804,78.6,-0.0,0
1634330199004,78.8,-0.0,0
1634330199204,79.0,0.002,0
1634330199404,79.2,0.003,0
1634330199604,79.4,0.004,0
1634330199804,79.6,0.002,0
1634330200004,79.8,0.0,0
1634330200204,80.0,-0.001,0
1634330200404,80.2,-0.001,0
1634330200604,80.4,-0.001,0
1634330200804,80.6,-0.001,0
1634330201004,80.8,-0.001,0
1634330201204,81.0,0.0,0
1634330201404,81.2,0.002,0
1634330201604,81.4,0.003,0
1634330201804,81.6,0.002,0
1634330202004,81.8,-0.002,0
1634330202204,82.0,-0.005,0
1634330202404,82.2,-0.006,0
1634330202604,82.4,-0.005,0
1634330202804,82.6,-0.002,0
1634330203004,82.8,-0.001,0
1634330203204,83.0,-0.002,0
1634330203404,83.2,-0.005,0
1634330203604,83.4,-0.008,0
1634330203804,83.6,-0.011,0
1634330204004,83.8,-0.012,0
1634330204204,84.0,-0.01,0
1634330204404,84.2,-0.007,0
1634330204604,84.4,-0.003,0
1634330204804,84.6,-0.0,0
1634330205004,84.8,0.002,0
1634330205204,85.0,0.003,0
1634330205404,85.2,0.005,0
1634330205604,85.4,0.006,0
1634330205804,85.6,0.006,0
1634330206004,85.8,0.005,0
1634330206204,86.0,0.002,0
1634330206404,86.2,-0.002,0
1634330206604,86.4,-0.004,0
1634330206804,86.6,-0.006,0
1634330207004,86.8,-0.007,0
1634330207204,87.0,-0.006,0
1634330207404,87.2,-0.006,0
1634330207604,87.4,-0.005,0
1634330207804,87.6,-0.005,0
1634330208004,87.8,-0.006,0
1634330208204,88.0,-0.006,0
1634330208404,88.2,-0.006,0
1634330208604,88.4,-0.006,0
1634330208804,88.6,-0.008,0
1634330209004,88.8,-0.012,0
1634330209204,89.0,-0.019,0
1634330209404,89.2,-0.026,0
1634330209604,89.4,-0.03,0
1634330209804,89.6,-0.028,0
1634330210004,89.8,-0.023,0
1634330210204,90.0,-0.015,0
1634330210404,90.2,-0.008,0
1634330210604,90.4,-0.002,0
1634330210804,90.6,0.005,0
1634330211004,90.8,0.01,0
1634330211204,91.0,0.012,0
1634330211404,91.2,0.008,0
1634330211604,91.4,-0.0,0
1634330211804,91.6,-0.009,0
1634330212004,91.8,-0.013,0
1634330212204,92.0,-0.012,0
1634330212404,92.2,-0.007,0
1634330212604,92.4,-0.001,0
1634330212804,92.6,0.003,0
1634330213004,92.8,0.004,0
1634330213204,93.0,0.004,0
1634330213404,93.2,0.003,0
1634330213604,93.4,0.002,0
1634330213804,93.6,0.002,0
1634330214004,93.8,0.003,0
1634330214204,94.0,0.004,0
1634330214404,94.2,0.005,0
1634330214604,94.4,0.004,0
1634330214804,94.6,0.003,0
1634330215004,94.8,0.004,0
1634330215204,95.0,0.006,0
1634330215404,95.2,0.01,0
1634330215604,95.4,0.013,0
1634330215804,95.6,0.015,0
1634330216004,95.8,0.012,0
1634330216204,96.0,0.008,0
1634330216404,96.2,0.002,0
1634330216604,96.4,-0.002,0
1634330216804,96.6,-0.002,0
1634330217004,96.8,0.0,0
1634330217204,97.0,0.005,0
1634330217404,97.2,0.01,0
1634330217604,97.4,0.014,0
1634330217804,97.6,0.015,0
1634330218004,97.8,0.013,0
1634330218204,98.0,0.01,0
1634330218404,98.2,0.007,0
1634330218604,98.4,0.004,0
1634330218804,98.6,0.002,0
1634330219004,98.8,0.001,0
1634330219204,99.0,0.002,0
1634330219404,99.2,0.002,0
1634330219604,99.4,0.002,0
1634330219804,99.6,0.001,0
1634330220004,99.8,0.001,0
1634330220204,100.0,0.004,0
1634330220404,100.2,0.009,0
1634330220604,100.4,0.013,0
1634330220804,100.6,0.015,0
1634330221004,100.8,0.016,0
1634330221204,101.0,0.013,0
1634330221404,101.2,0.01,0
1634330221604,101.4,0.005,0
1634330221804,101.6,0.0,0
1634330222004,101.8,-0.003,0
1634330222204,102.0,-0.004,0
1634330222404,102.2,-0.001,0
1634330222604,102.4,0.005,0
1634330222804,102.6,0.011,0
1634330223004,102.8,0.015,0
1634330223204,103.0,0.015,0
1634330223404,103.2,0.011,0
