timestamp_ms,t_s,z_m,wake_label
1634660453814,33.6,-0.004,0
1634660454014,33.8,-0.004,0
1634660454214,34.0,-0.003,0
1634660454414,34.2,-0.003,0
1634660454614,34.4,-0.002,0
1634660454814,34.6,-0.0,0
1634660455014,34.8,0.003,0
1634660455214,35.0,0.005,0
1634660455414,35.2,0.005,0
1634660455614,35.4,0.003,0
1634660455814,35.6,0.001,0
1634660456014,35.8,0.0,0
1634660456214,36.0,0.001,0
1634660456414,36.2,0.001,0
1634660456614,36.4,0.0,0
1634660456814,36.6,-0.001,0
1634660457014,36.8,-0.003,0
1634660457214,37.0,-0.004,0
1634660457414,37.2,-0.004,0
1634660457614,37.4,-0.004,0
1634660457814,37.6,-0.004,0
1634660458014,37.8,-0.004,0
1634660458214,38.0,-0.002,0
1634660458414,38.2,0.002,0
1634660458614,38.4,0.006,0
1634660458814,38.6,0.006,0
1634660459014,38.8,0.003,0
1634660459214,39.0,-0.003,0
1634660459414,39.2,-0.007,0
1634660459614,39.4,-0.006,0
1634660459814,39.6,-0.002,0
1634660460014,39.8,0.002,0
1634660460214,40.0,0.003,0
1634660460414,40.2,0.002,0
1634660460614,40.4,0.001,0
1634660460814,40.6,0.002,0
1634660461014,40.8,0.004,0
1634660461214,41.0,0.006,0
1634660461414,41.2,0.006,0
1634660461614,41.4,0.004,0
1634660461814,41.6,0.002,0
1634660462014,41.8,0.001,0
1634660462214,42.0,0.001,0
1634660462414,42.2,0.001,0
1634660462614,42.4,0.001,0
1634660462814,42.6,-0.001,0
1634660463014,42.8,-0.003,0
1634660463214,43.0,-0.005,0
1634660463414,43.2,-0.006,0
1634660463614,43.4,-0.006,0
1634660463814,43.6,-0.004,0
1634660464014,43.8,-0.002,0
1634660464214,44.0,-0.0,0
1634660464414,44.2,0.002,0
1634660464614,44.4,0.004,0
1634660464814,44.6,0.005,0
1634660465014,44.8,0.004,0
1634660465214,45.0,0.0,0
1634660465414,45.2,-0.004,0
1634660465614,45.4,-0.006,0
1634660465814,45.6,-0.005,0
1634660466014,45.8,-0.001,0
1634660466214,46.0,0.003,0
1634660466414,46.2,0.005,0
1634660466614,46.4,0.003,0
1634660466814,46.6,-0.0,0
1634660467014,46.8,-0.004,0
1634660467214,47.0,-0.005,0
1634660467414,47.2,-0.003,0
1634660467614,47.4,0.001,0
1634660467814,47.6,0.003,0
1634660468014,47.8,0.004,0
1634660468214,48.0,0.002,0
1634660468414,48.2,-0.001,0
1634660468614,48.4,-0.003,0
1634660468814,48.6,-0.002,0
1634660469014,48.8,-0.001,0
1634660469214,49.0,-0.0,0
1634660469414,49.2,-0.001,0
1634660469614,49.4,-0.002,0
1634660469814,49.6,-0.002,0
1634660470014,49.8,-0.001,0
1634660470214,50.0,0.001,0
1634660470414,50.2,0.003,0
1634660470614,50.4,0.004,0
1634660470814,50.6,0.004,0
1634660471014,50.8,0.005,0
1634660471214,51.0,0.004,0
1634660471414,51.2,0.003,0
1634660471614,51.4,0.001,0
1634660471814,51.6,0.0,0
1634660472014,51.8,0.0,0
1634660472214,52.0,0.001,0
1634660472414,52.2,-0.0,0
1634660472614,52.4,-0.001,0
1634660472814,52.6,-0.001,0
1634660473014,52.8,0.0,0
1634660473214,53.0,0.003,0
1634660473414,53.2,0.005,0
1634660473614,53.4,0.006,0
1634660473814,53.6,0.003,0
1634660474014,53.8,-0.001,0
1634660474214,54.0,-0.005,0
1634660474414,54.2,-0.009,0
1634660474614,54.4,-0.01,0
1634660474814,54.6,-0.009,0
1634660475014,54.8,-0.006,0
1634660475214,55.0,-0.004,0
1634660475414,55.2,-0.003,0
1634660475614,55.4,-0.003,0
1634660475814,55.6,-0.003,0
1634660476014,55.8,-0.003,0
1634660476214,56.0,-0.002,0
1634660476414,56.2,0.0,0
1634660476614,56.4,0.003,0
1634660476814,56.6,0.007,0
1634660477014,56.8,0.008,0
1634660477214,57.0,0.008,0
1634660477414,57.2,0.004,0
1634660477614,57.4,-0.0,0
1634660477814,57.6,-0.003,0
1634660478014,57.8,-0.001,0
1634660478214,58.0,0.003,0
1634660478414,58.2,0.006,0
1634660478614,58.4,0.007,0
1634660478814,58.6,0.005,0
1634660479014,58.8,0.002,0
1634660479214,59.0,-0.002,0
1634660479414,59.2,-0.004,0
1634660479614,59.4,-0.005,0
1634660479814,59.6,-0.003,0
1634660480014,59.8,-0.001,0
1634660480214,60.0,0.002,0
1634660480414,60.2,0.003,0
1634660480614,60.4,0.002,0
1634660480814,60.6,0.001,0
1634660481014,60.8,-0.0,0
1634660481214,61.0,-0.001,0
1634660481414,61.2,-0.003,0
1634660481614,61.4,-0.004,0
1634660481814,61.6,-0.004,0
1634660482014,61.8,-0.002,0
1634660482214,62.0,-0.0,0
1634660482414,62.2,0.001,0
1634660482614,62.4,0.001,0
1634660482814,62.6,0.0,0
1634660483014,62.8,-0.001,0
1634660483214,63.0,-0.002,0
1634660483414,63.2,-0.003,0
1634660483614,63.4,-0.003,0
1634660483814,63.6,-0.003,0
1634660484014,63.8,-0.001,0
1634660484214,64.0,0.002,0
1634660484414,64.2,0.003,0
1634660484614,64.4,0.003,0
1634660484814,64.6,0.003,0
1634660485014,64.8,0.003,0
1634660485214,65.0,0.003,0
1634660485414,65.2,0.003,0
1634660485614,65.4,0.002,0
1634660485814,65.6,0.0,0
1634660486014,65.8,-0.001,0
1634660486214,66.0,-0.002,0
1634660486414,66.2,-0.002,0
1634660486614,66.4,-0.003,0
1634660486814,66.6,-0.005,0
1634660487014,66.8,-0.006,0
1634660487214,67.0,-0.007,0
1634660487414,67.2,-0.005,0
1634660487614,67.4,-0.001,0
1634660487814,67.6,0.002,0
1634660488014,67.8,0.002,0
1634660488214,68.0,0.001,0
1634660488414,68.2,0.0,0
1634660488614,68.4,0.0,0
1634660488814,68.6,0.003,0
1634660489014,68.8,0.007,0
1634660489214,69.0,0.01,0
1634660489414,69.2,0.009,0
1634660489614,69.4,0.006,0
1634660489814,69.6,0.002,0
1634660490014,69.8,-0.002,0
1634660490214,70.0,-0.003,0
1634660490414,70.2,-0.002,0
1634660490614,70.4,0.0,0
1634660490814,70.6,0.002,0
1634660491014,70.8,0.003,0
1634660491214,71.0,0.002,0
1634660491414,71.2,-0.001,0
1634660491614,71.4,-0.005,0
1634660491814,71.6,-0.008,0
1634660492014,71.8,-0.009,0
1634660492214,72.0,-0.007,0
1634660492414,72.2,-0.004,0
1634660492614,72.4,-0.001,0
1634660492814,72.6,0.001,0
1634660493014,72.8,0.001,0
1634660493214,73.0,0.0,0
1634660493414,73.2,-0.001,0
1634660493614,73.4,-0.0,0
1634660493814,73.6,0.0,0
1634660494014,73.8,0.001,0
1634660494214,74.0,0.002,0
1634660494414,74.2,0.001,0
1634660494614,74.4,-0.0,0
1634660494814,74.6,-0.002,0
1634660495014,74.8,-0.003,0
1634660495214,75.0,-0.002,0
1634660495414,75.2,-0.001,0
1634660495614,75.4,0.001,0
1634660495814,75.6,0.001,0
1634660496014,75.8,0.001,0
1634660496214,76.0,0.002,0
1634660496414,76.2,0.004,0
1634660496614,76.4,0.006,0
1634660496814,76.6,0.005,0
1634660497014,76.8,0.002,0
1634660497214,77.0,-0.002,0
1634660497414,77.2,-0.004,0
1634660497614,77.4,-0.003,0
1634660497814,77.6,0.0,0
1634660498014,77.8,0.003,0
1634660498214,78.0,0.003,0
1634660498414,78.2,0.002,0
1634660498614,78.4,-0.0,0
1634660498814,78.6,-0.002,0
1634660499014,78.8,-0.003,0
1634660499214,79.0,-0.001,0
1634660499414,79.2,0.002,0
1634660499614,79.4,0.005,0
1634660499814,79.6,0.006,0
1634660500014,79.8,0.004,0
1634660500214,80.0,-0.0,0
1634660500414,80.2,-0.004,0
1634660500614,80.4,-0.006,0
1634660500814,80.6,-0.005,0
1634660501014,80.8,-0.002,0
1634660501214,81.0,-0.001,0
1634660501414,81.2,-0.0,0
1634660501614,81.4,-0.0,0
1634660501814,81.6,-0.0,0
1634660502014,81.8,-0.0,0
1634660502214,82.0,-0.001,0
1634660502414,82.2,-0.003,0
1634660502614,82.4,-0.005,0
1634660502814,82.6,-0.005,0
1634660503014,82.8,-0.003,0
1634660503214,83.0,0.002,0
1634660503414,83.2,0.005,0
1634660503614,83.4,0.006,0
1634660503814,83.6,0.003,0
1634660504014,83.8,-0.001,0
1634660504214,84.0,-0.004,0
1634660504414,84.2,-0.004,0
1634660504614,84.4,-0.002,0
1634660504814,84.6,0.001,0
1634660505014,84.8,0.003,0
1634660505214,85.0,0.003,0
1634660505414,85.2,0.001,0
1634660505614,85.4,-0.0,0
1634660505814,85.6,-0.001,0
1634660506014,85.8,-0.002,0
1634660506214,86.0,-0.001,0
1634660506414,86.2,0.0,0
1634660506614,86.4,0.002,0
1634660506814,86.6,0.005,0
1634660507014,86.8,0.006,0
1634660507214,87.0,0.004,0
1634660507414,87.2,0.002,0
1634660507614,87.4,-0.0,0
1634660507814,87.6,-0.0,0
1634660508014,87.8,0.002,0
1634660508214,88.0,0.004,0
1634660508414,88.2,0.005,0
1634660508614,88.4,0.004,0
1634660508814,88.6,0.001,0
1634660509014,88.8,-0.003,0
1634660509214,89.0,-0.007,0
1634660509414,89.2,-0.01,0
1634660509614,89.4,-0.009,0
1634660509814,89.6,-0.007,0
1634660510014,89.8,-0.002,0
1634660510214,90.0,0.003,0
1634660510414,90.2,0.005,0
1634660510614,90.4,0.004,0
1634660510814,90.6,0.0,0
1634660511014,90.8,-0.004,0
1634660511214,91.0,-0.006,0
1634660511414,91.2,-0.006,0
1634660511614,91.4,-0.004,0
1634660511814,91.6,0.0,0
1634660512014,91.8,0.003,0
1634660512214,92.0,0.005,0
1634660512414,92.2,0.005,0
1634660512614,92.4,0.003,0
1634660512814,92.6,0.0,0
1634660513014,92.8,-0.001,0
1634660513214,93.0,-0.001,0
1634660513414,93.2,-0.0,0
1634660513614,93.4,0.001,0
1634660513814,93.6,0.002,0
1634660514014,93.8,0.002,0
1634660514214,94.0,0.002,0
1634660514414,94.2,0.0,0
1634660514614,94.4,-0.001,0
1634660514814,94.6,-0.002,0
1634660515014,94.8,-0.002,0
1634660515214,95.0,-0.001,0
1634660515414,95.2,0.0,0
1634660515614,95.4,0.001,0
1634660515814,95.6,0.002,0
1634660516014,95.8,0.002,0
1634660516214,96.0,0.001,0
1634660516414,96.2,-0.0,0
1634660516614,96.4,-0.002,0
1634660516814,96.6,-0.002,0
1634660517014,96.8,-0.001,0
1634660517214,97.0,0.001,0
1634660517414,97.2,0.003,0
1634660517614,97.4,0.004,0
1634660517814,97.6,0.003,0
1634660518014,97.8,0.0,0
1634660518214,98.0,-0.002,0
1634660518414,98.2,-0.003,0
1634660518614,98.4,-0.001,0
1634660518814,98.6,0.001,0
1634660519014,98.8,0.003,0
1634660519214,99.0,0.004,0
1634660519414,99.2,0.004,0
1634660519614,99.4,0.002,0
1634660519814,99.6,-0.0,0
1634660520014,99.8,-0.002,0
1634660520214,100.0,-0.004,0
1634660520414,100.2,-0.005,0
1634660520614,100.4,-0.004,0
1634660520814,100.6,-0.002,0
1634660521014,100.8,-0.001,0
1634660521214,101.0,-0.001,0
1634660521414,101.2,-0.003,0
1634660521614,101.4,-0.006,0
1634660521814,101.6,-0.008,0
1634660522014,101.8,-0.006,0
1634660522214,102.0,-0.002,0
1634660522414,102.2,0.003,0
1634660522614,102.4,0.007,0
1634660522814,102.6,0.008,0
1634660523014,102.8,0.007,0
1634660523214,103.0,0.003,0
1634660523414,103.2,-0.0,0
1634660523614,103.4,-0.002,0
1634660523814,103.6,-0.001,0
1634660524014,103.8,0.002,0
1634660524214,104.0,0.005,0
1634660524414,104.2,0.006,0
1634660524614,104.4,0.004,0
1634660524814,104.6,0.0,0
1634660525014,104.8,-0.003,0
1634660525214,105.0,-0.005,0
1634660525414,105.2,-0.004,0
1634660525614,105.4,-0.002,0
1634660525814,105.6,0.0,0
1634660526014,105.8,0.003,0
1634660526214,106.0,0.005,0
1634660526414,106.2,0.006,0
1634660526614,106.4,0.005,0
1634660526814,106.6,0.003,0
1634660527014,106.8,0.0,0
1634660527214,107.0,-0.002,0
1634660527414,107.2,-0.003,0
1634660527614,107.4,-0.003,0
1634660527814,107.6,-0.004,0
1634660528014,107.8,-0.004,0
1634660528214,108.0,-0.004,0
1634660528414,108.2,-0.003,0
1634660528614,108.4,-0.003,0
1634660528814,108.6,-0.002,0
1634660529014,108.8,-0.002,0
1634660529214,109.0,-0.001,0
1634660529414,109.2,0.001,0
1634660529614,109.4,0.003,0
1634660529814,109.6,0.003,0
1634660530014,109.8,0.002,0
1634660530214,110.0,-0.001,0
1634660530414,110.2,-0.002,0
1634660530614,110.4,-0.001,0
1634660530814,110.6,0.002,0
1634660531014,110.8,0.004,0
1634660531214,111.0,0.003,0
1634660531414,111.2,-0.001,0
1634660531614,111.4,-0.005,0
1634660531814,111.6,-0.006,0
1634660532014,111.8,-0.004,0
1634660532214,112.0,-0.001,0
1634660532414,112.2,-0.0,0
1634660532614,112.4,-0.001,0
1634660532814,112.6,-0.003,0
1634660533014,112.8,-0.002,0
1634660533214,113.0,0.001,0
1634660533414,113.2,0.004,0
1634660533614,113.4,0.007,0
1634660533814,113.6,0.007,0
1634660534014,113.8,0.006,0
1634660534214,114.0,0.005,0
1634660534414,114.2,0.005,0
1634660534614,114.4,0.005,0
1634660534814,114.6,0.004,0
1634660535014,114.8,0.001,0
1634660535214,115.0,-0.002,0
1634660535414,115.2,-0.004,0
1634660535614,115.4,-0.004,0
1634660535814,115.6,-0.003,0
1634660536014,115.8,-0.002,0
1634660536214,116.0,-0.002,0
1634660536414,116.2,-0.002,0
1634660536614,116.4,-0.002,0
1634660536814,116.6,-0.001,0
1634660537014,116.8,-0.001,0
1634660537214,117.0,-0.0,0
1634660537414,117.2,-0.001,0
1634660537614,117.4,-0.002,0
1634660537814,117.6,-0.003,0
1634660538014,117.8,-0.003,0
1634660538214,118.0,-0.004,0
1634660538414,118.2,-0.004,0
1634660538614,118.4,-0.003,0
1634660538814,118.6,-0.002,0
1634660539014,118.8,0.0,0
1634660539214,119.0,0.002,0
1634660539414,119.2,0.003,0
1634660539614,119.4,0.001,0
1634660539814,119.6,0.0,0
1634660540014,119.8,-0.0,0
1634660540214,120.0,0.001,0
1634660540414,120.2,0.002,0
1634660540614,120.4,0.004,0
1634660540814,120.6,0.005,0
1634660541014,120.8,0.005,0
1634660541214,121.0,0.004,0
1634660541414,121.2,0.003,0
1634660541614,121.4,0.002,0
1634660541814,121.6,0.002,0
1634660542014,121.8,0.002,0
1634660542214,122.0,0.002,0
1634660542414,122.2,0.0,0
1634660542614,122.4,-0.002,0
1634660542814,122.6,-0.005,0
1634660543014,122.8,-0.008,0
1634660543214,123.0,-0.01,0
1634660543414,123.2,-0.01,0
1634660543614,123.4,-0.009,0
1634660543814,123.6,-0.007,0
1634660544014,123.8,-0.003,0
1634660544214,124.0,0.001,0
1634660544414,124.2,0.006,0
1634660544614,124.4,0.008,0
1634660544814,124.6,0.009,0
1634660545014,124.8,0.007,0
1634660545214,125.0,0.006,0
1634660545414,125.2,0.006,0
1634660545614,125.4,0.006,0
1634660545814,125.6,0.006,0
1634660546014,125.8,0.005,0
1634660546214,126.0,0.002,0
1634660546414,126.2,-0.0,0
1634660546614,126.4,-0.002,0
1634660546814,126.6,-0.003,0
1634660547014,126.8,-0.003,0
1634660547214,127.0,-0.004,0
1634660547414,127.2,-0.004,0
1634660547614,127.4,-0.004,0
1634660547814,127.6,-0.003,0
1634660548014,127.8,-0.003,0
1634660548214,128.0,-0.004,0
1634660548414,128.2,-0.005,0
1634660548614,128.4,-0.004,0
1634660548814,128.6,-0.004,0
1634660549014,128.8,-0.003,0
1634660549214,129.0,-0.004,0
1634660549414,129.2,-0.005,0
1634660549614,129.4,-0.005,0
1634660549814,129.6,-0.003,0
1634660550014,129.8,0.001,0
1634660550214,130.0,0.005,0
1634660550414,130.2,0.006,0
1634660550614,130.4,0.004,0
1634660550814,130.6,0.001,0
1634660551014,130.8,0.0,0
1634660551214,131.0,0.002,0
1634660551414,131.2,0.005,0
1634660551614,131.4,0.006,0
1634660551814,131.6,0.005,0
1634660552014,131.8,0.003,0
1634660552214,132.0,0.004,0
1634660552414,132.2,0.006,0
1634660552614,132.4,0.01,0
1634660552814,132.6,0.01,0
1634660553014,132.8,0.006,0
1634660553214,133.0,0.0,0
1634660553414,133.2,-0.005,0
1634660553614,133.4,-0.008,0
1634660553814,133.6,-0.008,0
1634660554014,133.8,-0.007,0
1634660554214,134.0,-0.007,0
1634660554414,134.2,-0.006,0
1634660554614,134.4,-0.004,0
1634660554814,134.6,-0.002,0
1634660555014,134.8,-0.002,0
1634660555214,135.0,-0.002,0
1634660555414,135.2,-0.003,0
1634660555614,135.4,-0.002,0
1634660555814,135.6,0.001,0
1634660556014,135.8,0.003,0
1634660556214,136.0,0.004,0
1634660556414,136.2,0.002,0
1634660556614,136.4,-0.001,0
1634660556814,136.6,-0.003,0
1634660557014,136.8,-0.001,0
1634660557214,137.0,0.002,0
1634660557414,137.2,0.005,0
1634660557614,137.4,0.006,0
1634660557814,137.6,0.003,0
1634660558014,137.8,-0.001,0
1634660558214,138.0,-0.005,0
1634660558414,138.2,-0.007,0
1634660558614,138.4,-0.006,0
1634660558814,138.6,-0.002,0
1634660559014,138.8,0.001,0
1634660559214,139.0,0.003,0
1634660559414,139.2,0.003,0
1634660559614,139.4,0.002,0
1634660559814,139.6,0.001,0
1634660560014,139.8,-0.001,0
1634660560214,140.0,-0.002,0
1634660560414,140.2,-0.001,0
1634660560614,140.4,0.001,0
1634660560814,140.6,0.005,0
1634660561014,140.8,0.007,0
1634660561214,141.0,0.006,0
1634660561414,141.2,0.004,0
1634660561614,141.4,0.0,0
1634660561814,141.6,-0.002,0
1634660562014,141.8,-0.002,0
1634660562214,142.0,-0.001,0
1634660562414,142.2,-0.0,0
1634660562614,142.4,0.0,0
1634660562814,142.6,-0.001,0
1634660563014,142.8,-0.004,0
1634660563214,143.0,-0.007,0
1634660563414,143.2,-0.01,0
1634660563614,143.4,-0.008,0
1634660563814,143.6,-0.004,0
1634660564014,143.8,0.003,0
1634660564214,144.0,0.008,0
1634660564414,144.2,0.01,0
1634660564614,144.4,0.008,0
1634660564814,144.6,0.005,0
1634660565014,144.8,0.001,0
1634660565214,145.0,-0.001,0
1634660565414,145.2,-0.002,0
1634660565614,145.4,-0.001,0
1634660565814,145.6,0.001,0
1634660566014,145.8,0.002,0
1634660566214,146.0,0.001,0
1634660566414,146.2,-0.002,0
1634660566614,146.4,-0.005,0
1634660566814,146.6,-0.007,0
1634660567014,146.8,-0.006,0
1634660567214,147.0,-0.004,0
1634660567414,147.2,-0.001,0
1634660567614,147.4,0.001,0
1634660567814,147.6,0.002,0
1634660568014,147.8,0.002,0
1634660568214,148.0,0.001,0
1634660568414,148.2,-0.001,0
1634660568614,148.4,-0.003,0
1634660568814,148.6,-0.003,0
1634660569014,148.8,-0.0,0
1634660569214,149.0,0.002,0
1634660569414,149.2,0.003,0
1634660569614,149.4,0.002,0
1634660569814,149.6,-0.001,0
1634660570014,149.8,-0.003,0
1634660570214,150.0,-0.003,0
1634660570414,150.2,0.0,0
1634660570614,150.4,0.005,0
1634660570814,150.6,0.01,0
1634660571014,150.8,0.011,0
1634660571214,151.0,0.009,0
1634660571414,151.2,0.005,0
1634660571614,151.4,-0.001,0
1634660571814,151.6,-0.004,0
1634660572014,151.8,-0.005,0
1634660572214,152.0,-0.004,0
1634660572414,152.2,-0.001,0
1634660572614,152.4,0.0,0
1634660572814,152.6,0.0,0
1634660573014,152.8,-0.001,0
1634660573214,153.0,-0.004,0
1634660573414,153.2,-0.005,0
1634660573614,153.4,-0.004,0
1634660573814,153.6,-0.002,0
1634660574014,153.8,0.001,0
1634660574214,154.0,0.003,0
1634660574414,154.2,0.002,0
1634660574614,154.4,-0.001,0
1634660574814,154.6,-0.004,0
1634660575014,154.8,-0.005,0
1634660575214,155.0,-0.004,0
1634660575414,155.2,-0.0,0
1634660575614,155.4,0.003,0
1634660575814,155.6,0.005,0
1634660576014,155.8,0.005,0
1634660576214,156.0,0.003,0
1634660576414,156.2,-0.001,0
1634660576614,156.4,-0.005,0
1634660576814,156.6,-0.008,0
1634660577014,156.8,-0.008,0
1634660577214,157.0,-0.005,0
1634660577414,157.2,-0.0,0
1634660577614,157.4,0.004,0
