timestamp_ms,t_s,z_m,wake_label
1634328320206,0.0,0.018,0
1634328320406,0.2,0.017,0
1634328320606,0.4,0.017,0
1634328320806,0.6,0.018,0
1634328321006,0.8,0.023,0
1634328321206,1.0,0.028,0
1634328321406,1.2,0.031,0
1634328321606,1.4,0.027,0
1634328321806,1.6,0.016,0
1634328322006,1.8,0.001,0
1634328322206,2.0,-0.01,0
1634328322406,2.2,-0.012,0
1634328322606,2.4,-0.005,0
1634328322806,2.6,0.009,0
1634328323006,2.8,0.021,0
1634328323206,3.0,0.026,0
1634328323406,3.2,0.02,0
1634328323606,3.4,0.008,0
1634328323806,3.6,-0.006,0
1634328324006,3.8,-0.016,0
1634328324206,4.0,-0.019,0
1634328324406,4.2,-0.018,0
1634328324606,4.4,-0.015,0
1634328324806,4.6,-0.016,0
1634328325006,4.8,-0.019,0
1634328325206,5.0,-0.022,0
1634328325406,5.2,-0.021,0
1634328325606,5.4,-0.013,0
1634328325806,5.6,-0.003,0
1634328326006,5.8,0.004,0
1634328326206,6.0,0.001,0
1634328326406,6.2,-0.012,0
1634328326606,6.4,-0.029,0
1634328326806,6.6,-0.04,0
1634328327006,6.8,-0.039,0
1634328327206,7.0,-0.026,0
1634328327406,7.2,-0.011,0
1634328327606,7.4,-0.003,0
1634328327806,7.6,-0.006,0
1634328328006,7.8,-0.015,0
1634328328206,8.0,-0.024,0
1634328328406,8.2,-0.027,0
1634328328606,8.4,-0.021,0
1634328328806,8.6,-0.009,0
1634328329006,8.8,0.004,0
1634328329206,9.0,0.013,0
1634328329406,9.2,0.016,0
1634328329606,9.4,0.011,0
1634328329806,9.6,0.002,0
1634328330006,9.8,-0.006,0
1634328330206,10.0,-0.008,0
1634328330406,10.2,-0.005,0
1634328330606,10.4,0.001,0
1634328330806,10.6,0.005,0
1634328331006,10.8,0.008,0
1634328331206,11.0,0.01,0
1634328331406,11.2,0.01,0
1634328331606,11.4,0.009,0
1634328331806,11.6,0.008,0
1634328332006,11.8,0.005,0
1634328332206,12.0,0.004,0
1634328332406,12.2,0.004,0
1634328332606,12.4,0.004,0
1634328332806,12.6,0.004,0
1634328333006,12.8,0.002,0
1634328333206,13.0,-0.001,0
1634328333406,13.2,-0.003,0
1634328333606,13.4,-0.004,0
1634328333806,13.6,-0.002,0
1634328334006,13.8,0.001,0
1634328334206,14.0,0.003,0
1634328334406,14.2,0.002,0
1634328334606,14.4,-0.003,0
1634328334806,14.6,-0.007,0
1634328335006,14.8,-0.008,0
