timestamp_ms,t_s,z_m,wake_label
1634583053818,33.6,0.029,0
1634583054018,33.8,0.038,0
1634583054218,34.0,0.039,0
1634583054418,34.2,0.031,0
1634583054618,34.4,0.016,0
1634583054818,34.6,0.002,0
1634583055018,34.8,-0.007,0
1634583055218,35.0,-0.011,0
1634583055418,35.2,-0.011,0
1634583055618,35.4,-0.01,0
1634583055818,35.6,-0.008,0
1634583056018,35.8,-0.007,0
1634583056218,36.0,-0.006,0
1634583056418,36.2,-0.005,0
1634583056618,36.4,-0.005,0
1634583056818,36.6,-0.005,0
1634583057018,36.8,-0.005,0
1634583057218,37.0,-0.008,0
1634583057418,37.2,-0.013,0
1634583057618,37.4,-0.02,0
1634583057818,37.6,-0.026,0
1634583058018,37.8,-0.03,0
1634583058218,38.0,-0.028,0
1634583058418,38.2,-0.022,0
1634583058618,38.4,-0.011,0
1634583058818,38.6,0.001,0
1634583059018,38.8,0.013,0
1634583059218,39.0,0.021,0
1634583059418,39.2,0.024,0
1634583059618,39.4,0.022,0
1634583059818,39.6,0.017,0
1634583060018,39.8,0.009,0
1634583060218,40.0,0.001,0
1634583060418,40.2,-0.007,0
1634583060618,40.4,-0.014,0
1634583060818,40.6,-0.018,0
1634583061018,40.8,-0.019,0
1634583061218,41.0,-0.018,0
1634583061418,41.2,-0.017,0
1634583061618,41.4,-0.017,0
1634583061818,41.6,-0.016,0
1634583062018,41.8,-0.015,0
1634583062218,42.0,-0.013,0
1634583062418,42.2,-0.012,0
1634583062618,42.4,-0.013,0
1634583062818,42.6,-0.015,0
1634583063018,42.8,-0.015,0
1634583063218,43.0,-0.011,0
1634583063418,43.2,-0.006,0
1634583063618,43.4,0.0,0
1634583063818,43.6,0.005,0
1634583064018,43.8,0.01,0
1634583064218,44.0,0.014,0
1634583064418,44.2,0.018,0
1634583064618,44.4,0.021,0
1634583064818,44.6,0.019,0
1634583065018,44.8,0.015,0
1634583065218,45.0,0.01,0
1634583065418,45.2,0.008,0
1634583065618,45.4,0.009,0
1634583065818,45.6,0.012,0
1634583066018,45.8,0.013,0
1634583066218,46.0,0.01,0
1634583066418,46.2,0.002,0
1634583066618,46.4,-0.009,0
1634583066818,46.6,-0.017,0
1634583067018,46.8,-0.017,0
1634583067218,47.0,-0.005,0
1634583067418,47.2,0.014,0
1634583067618,47.4,0.032,0
1634583067818,47.6,0.04,0
1634583068018,47.8,0.037,0
1634583068218,48.0,0.024,0
1634583068418,48.2,0.009,0
1634583068618,48.4,-0.004,0
1634583068818,48.6,-0.011,0
1634583069018,48.8,-0.01,0
1634583069218,49.0,-0.004,0
1634583069418,49.2,0.003,0
1634583069618,49.4,0.008,0
1634583069818,49.6,0.006,0
1634583070018,49.8,-0.002,0
1634583070218,50.0,-0.014,0
1634583070418,50.2,-0.025,0
1634583070618,50.4,-0.029,0
1634583070818,50.6,-0.026,0
1634583071018,50.8,-0.019,0
1634583071218,51.0,-0.009,0
1634583071418,51.2,-0.001,0
1634583071618,51.4,0.006,0
1634583071818,51.6,0.01,0
